Tags,Oznake
"Add a tag ...","Dodaj oznaku"
Here are the options to proceed:,Ovde su opcije za postupak:
If you still want to proceed,Ako ipak želite da nastavite
Online PassKey,mreži PassKei
Please adjust the qty or edit {0} to proceed.,Molimo Vas da podesite kom ili izmeni {0} da se nastavi.
Purchase Value,Nabavna vrednost
Quoted Amount,Citirano Iznos
Sales Value,Prodaja Vrednost
Total Sales Amount,Ukupno Prodaja Iznos
choose the 'Naming Series' option.,"odaberite opciju ""Imenovanje Series""."
days.,dana.
from {0},from {0}
or for Department: {0},ili Department: {0}
out of,od
out of {0},od {0}
performing either one below:,obavljanje bilo jedan ispod:
to know more,znati više
to know more about them.,znati više o njima.
to your browser,na vašem pretraživaču
to {0},to {0}
Company History,Istorija kompanije
Customer Provided Item cannot be Purchase Item also,Kupac uslovom tačka ne može biti objekat artikla i
Customer Provided Item cannot have Valuation Rate,Kupac uslovom tačka ne može imati procenu vrednosti Rate
"From date can not be greater than or equal to ""To date""","Od datuma ne može biti veći ili jednak na ""Do danas"""
Is Fixed Asset cannot be unchecked,Se osnovnim sredstvima ne može da bude neproverena
Parent signifies the parent table in which this row must be added,Roditelj označava roditelj tabela u kojoj se mora dodati ovaj red
"Team Members or ""Management""","Team Members ili ""menadžment"""
amended_from field must be present to do an amendment.,amended_from polje mora biti prisutno da uradi amandman.
{0} is not a valid Google Sheets URL,{0} nije važeći Google URL-listovi
%  Delivered,%  Isporučena
% Amount Billed,% naplaćen
% Billed,% Naplaćenog
% Complete,% Završeno
% Complete Method,% Mera za kompletnost
% Completed,% Završeno
% Installed,% Installed
% Occupied,% Zauzeto
% Of Applicant Portfolio,% Podnosioca Portfolio
% Of Grand Total,% od ukupnog
% Of Total Portfolio,% Ukupnog portfelja
% Ordered,% Ž
% Progress,% Napredak
% Received,% Primljen
% Returned,% vratilo
% of materials billed against this Sales Order,% Materijala naplaćeno protiv ove Sales Order
% of materials delivered against this Delivery Note,% Materijala isporučena protiv ove isporuke Note
% of materials delivered against this Sales Order,% Materijala isporučena protiv ove Sales Order
&lt;head&gt; HTML,& Lt; head & gt; HTML-
Account' in the Accounting section of Customer {0},"Račun ""u računovodstvenom delu kupaca {0}"
Based On' and 'Group By' can not be same,Na osnovu 'i' GROUP BI 'ne može biti isto
Date' is required,je obavezan date '
Days Since Last Order' must be greater than or equal to zero,Dana od poslednje reda 'mora biti veći ili jednak nuli
Default {0} Account' in Company {1},Podrazumevani {0} nalog 'u firmi {1}
Entries' cannot be empty,"Odrednice ""ne može da bude prazna"
From Date' is required,Od datuma 'je obavezno
From Date' must be after 'To Date',Od datuma 'mora biti nakon' do danas '
Has Serial No' can not be 'Yes' for non-stock item,"Ima serijski broj ""ne može biti 'Da' za ne-stock item"
In Global Search' not allowed for type {0} in row {1},"U Globalna pretraga ""nije dozvoljeno za tip {0} u redu {1}"
In List View' not allowed for type {0} in row {1},"U spisok ""nije dozvoljeno za tip {0} u redu {1}"
Opening',Otvaranje'
Recipients' not specified,Primaoci nisu nvaedeni
To Case No.' cannot be less than 'From Case No.',Da bi predmet br ' ne može biti manja od 'Od Predmet br'
To Date' is required,"Datuma ""je obavezan"
Update Stock' can not be checked because items are not delivered via {0},"Update Stok ""ne može proveriti, jer stvari se ne isporučuju preko {0}"
Update Stock' cannot be checked for fixed asset sale,"Update Stok ""ne može da se proveri za fiksnu prodaje imovine"
employee_field_value' and 'timestamp' are required.,su obavezna emploiee_field_value 'i' Vreme '.
{0}' not allowed for type {1} in row {2},{0} 'nije dozvoljena za tip {1} zaredom {2}
(Ca+Mg)/K,(Ca + Mg) / K
(Forecast),(Vreme)
(Half Day),(Poludnevni)
(Hour Rate / 60) * Actual Operation Time,(Čas kurs / 60) * Puna Operativno vreme
(Mandatory),(Mandatori)
(Serial No: {0}) cannot be consumed as it's reserverd to fullfill Sales Order {1}.,(Serijski br: {0}) ne može da se konzumira kao da je reserverd da fullfill Sales Order {1}.
(including),(uključujući)
) for {0},) For {0}
* Will be calculated in the transaction.,* Da li će se izračunati u transakciji.
** Failed: {0} to {1}: {2},** Failed: {0} do {1}: {2}
**Currency** Master,** valuta ** master
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Fiskalna godina ** predstavlja finansijske godine. Sve računovodstvene unose i ostale velike transakcije prate protiv ** fiskalnu godinu **.
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** Mesečni Distribucija ** pomaže da distribuirate budžet / Target preko meseci ako imate sezonski u svom poslu.
. Please Check documents,. Please Check dokumenata
...Adding Article to Topics,... Dodavanje Član da tema
...Adding Course to Programs,... Dodavanje Kurs Programi
...Adding Quiz to Topics,... Dodavanje Kuiz na teme
...Adding Topic to Courses,... Dodavanje Topic kursevima
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Nacrt; 1 - Submitted; 2 - Otkazano
0 is highest,0 je najviši
1 Currency=[?] FractionFor e.g. 1 USD=100 Cent,"1 Valuta=[?] Deo valute, na priimer 1 dolar je 100 centi"
1 Google Calendar Event synced.,1 google kalendar događaj je sinhronizovan
1 Loyalty Points=How much base currency?,1 Poeni za Lojalnost=Kolika je osnovna valuta?
1 Report,1 Izveštaj
1 comment,1 komentar
1 hour ago,pre sat vremena
1 hr,pre sat vremena
1 minute ago,pre minut
1 month ago,pre mesec dana
1 record will be exported,1 zapis će se izvoziti
1 week ago,pre nedelju dana
1 year ago,pre godinu dana
194A,194A
194C,194C
194D,194d
194H,194H
194I,194I
194J,194J
194LA,194LA
194LBB,194LBB
194LBC,194LBC
2 Yearly,2 Godišnji
30 mins,30 min
5 Records,5 Zapisi
6 hrs,6 hrs
80G Number,80G Broj
80G With Effect From,80G sa dejstvom od
90 Above,90 Iznad
; not allowed in condition,; nije dozvoljeno u stanju
<b>Company</b> is a mandatory filter.,<b> Kompanija </ b> je obavezna filtera.
<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b> Primer: </ b> SAL- {first_name} - {date_of_birth.iear} <br> Ovo će generisati šifru poput SAL-Jane-1972
<b>From Date</b> is a mandatory filter.,<b> Od datuma </ b> je obavezna filtera.
<b>From Time</b> cannot be later than <b>To Time</b> for {0},<b> Od vremena </ b> mogu da budu najkasnije do <b> Da Vreme </ b> za {0}
<b>Single</b>: Results which require only a single input.<br><b>Compound</b>: Results which require multiple event inputs.<br><b>Descriptive</b>: Tests which have multiple result components with manual result entry.<br><b>Grouped</b>: Test templates which are a group of other test templates.<br><b>No Result</b>: Tests with no results,<b> Slobodan </ b>. Rezultati koji zahtevaju samo jedan ulaz  <br>  <b> jedinjenje </ b>. Rezultati koji zahtevaju više ulaza događaja  <br>  . | <b> Opisna </ b> Testovi koji imaju više rezultat komponente sa ručnog unosa rezultat  <br>  <b> grupisani </ b> Test šabloni koji su sa grupom drugih obrazaca test.  <br>  <b> Ne Rezultat </ b>: Ispitivanja bez rezultata
<b>To Date</b> is a mandatory filter.,<b> Da biste Datum </ b> je obavezna filtera.
"<br><h4>Note</h4><ul><li>You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.</li><li>    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.</li></ul><h4> Examples</h4><!-- {% raw %} --><ul>    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.name }}</code></pre><br></li>    <li><b>Body</b>: <br><br><pre><code>Hello {{ customer.name }}","<br>  <h4> Napomena </ h4>  <: ul>  <Li>  Možete koristiti <a href=""https://jinja.palletsprojects.com/en/2.11 . .k / ""target ="" _ blank ""> Džindža oznake </a> u <b> Naslov </ b> i <b> telo </ b> polja za dinamičke vrednosti  </ p> <p> |  Sva polja u ovom DOCTIPE su dostupne pod <b> doc </ b> objekat i sva polja za kupca za koga pošta će ići je dostupan pod <b> klijenta </ b> objekta.  </ li> </ ul>  <h4> Primeri </ h4>  <! - {% sirova%} ->  <ul>  <P> <b> Naslov </ b> <br> <pre> <kod> obračuna za {{customer.name}} </ kod> </ pre> <br> </ Li>  <P> <b> Telo </ b> <br>  <pre> <kod> Zdravo {{customer.name}}"
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=""upozorenje""> Molim te, ne ažurira što može nered obrascu. Koristite Prilagodite Form Pogledaj i Custom Fields da podesite osobine </ div>"
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading""> Drugi detalji </ div>"
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""font-isključen tekst centar""> Nema odgovarajućih bankarskih transakcija pronađeni </ div>"
"<div class=""well"">Edit list of Series in the box below. Rules:<ul><li>Each Series Prefix on a new line.</li><li>Allowed special characters are ""/"" and ""-""</li><li>Optionally","<div class=""i"">  Uredi listu serije u polje ispod. Pravila:.  <: ul>  <Li> Svaka serija prefiks na novoj liniji </ Li>  <Li> Dozvoljeni posebni karakteri se ""/"" i ""-"" </ Li>  <li> Opciono"
<div><h3> All dimensions in centimeter only </h3></div>,: <div>  <h3> Sve mere u centimetru samo </ h3>  </ div>
<h3>About Product Bundle</h3><p>Aggregate group of <b>Items</b> into another <b>Item</b>. This is useful if you are bundling a certain <b>Items</b> into a package and you maintain stock of the packed <b>Items</b> and not the aggregate <b>Item</b>.</p><p>The package <b>Item</b> will have <code>Is Stock Item</code> as <b>No</b> and <code>Is Sales Item</code> as <b>Yes</b>.</p><h4>Example:</h4><p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both,"<h3> O Proizvod Bundle </ h3>  <p> zbirne grupe <b> Items </ b> u drugi <b> Item </ b>. Ovo je korisno ako se grupisanje određenog <b> stavke </ b> u paket i održavaju zalihe upakovanih <b> stavke </ b>, a ne agregatno <b> punkt </ b>. </ str>  <p> paket <b> punkt </ b> će imati <code> Stok artikla </ code>, kao <b> Ne </ b> i <code> Prodaja artikla </ kod> kao <b> Da </ b> </ div>  <h4> Primer:. </ h4>  <p> ako prodajete laptopi i rančeve odvojeno i imaju posebnu cenu ukoliko se kupac kupuje oba"
<h3>Client Script Help</h3><p>Client Scripts are executed only on the client-side (i.e. in Forms). Here are some examples to get you started</p><pre><code>// fetch local_tax_no on selection of customer // cur_frm.add_fetch(link_field,<h3> Klijent Scenario Pomoć </ h3>  <s> Skripte Client se izvršava samo na strani klijenta (na primer u formi). Evo nekoliko primera za početak </ p>  <pre> <code>  // preuzima local_tak_no o izboru kupca  // cur_frm.add_fetch (link_field
"<h3>Custom CSS Help</h3><p>Notes:</p><ol><li>All field groups (label + value) are set attributes <code>data-fieldtype</code> and <code>data-fieldname</code></li><li>All values are given class <code>value</code></li><li>All Section Breaks are given class <code>section-break</code></li><li>All Column Breaks are given class <code>column-break</code></li></ol><h4>Examples</h4><p>1. Left align integers</p><pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre><p>1. Add border to sections except the last section</p><pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; }.section-break:last-child { padding-bottom: 0px; border-bottom: 0px;  }</code></pre>","<h3> prilagođeni CSS Pomoć </ h3>  blog <p> Napomene </ p>  <ola>  <Li> Sve terenske grupe (oznaka + value) su skup atributa <code> podataka fieldtipe </ code> i <kod> podataka fieldname </ kod> </ p>  <li> Sve vrednosti su date klase <kod> vrednost </ kod> </ p> |  <li> Sve Član House dati klasa <code> odeljak-pauza </ kod> </ p>  <li> Sve House kolona su dati klasa <kod> kolona-pauza </ kod> </ p >  </ ol>  <h4> Primeri </ h4>  <p> 1. Lijevo poravnanje integers </ p>  <pre> <code> [data-fieldtipe=""Int""] .value {tekt-align: left; } </ Code> </ pre>  <p> 1. Dodaj granicu sa Članovima osim poslednjem delu </ p>  <pre> <kod> .section-pauza {obivka: 30pk 0pk; border-bottom: 1pk solid vhite; }  .section-pauza: last dete {font-size: 0pk; border: 0pk; } </ Code> </ pre> "
"<h3>Help</h3><p>Notes:</p><ol><li>Use field <code>base</code> for using base salary of the Employee</li><li>Use Salary Component abbreviations in conditions and formulas. <code>BS=Basic Salary</code></li><li>Use field name for employee details in conditions and formulas. <code>Employment Type=employment_type</code><code>Branch=branch</code></li><li>Use field name from Salary Slip in conditions and formulas. <code>Payment Days=payment_days</code><code>Leave without pay=leave_without_pay</code></li><li>Direct Amount can also be entered based on Condition. See example 3</li></ol><h4>Examples</h4><ol><li>Calculating Basic Salary based on <code>base</code><pre><code>Condition: base &lt; 10000</code></pre><pre><code>Formula: base * .2</code></pre></li><li>Calculating HRA based on Basic Salary<code>BS</code> <pre><code>Condition: BS &gt; 2000</code></pre><pre><code>Formula: BS * .1</code></pre></li><li>Calculating TDS based on Employment Type<code>employment_type</code> <pre><code>Condition: employment_type==""Intern""</code></pre><pre><code>Amount: 1000</code></pre></li></ol>","<h3> Pomoć </ h3>  <p> Napomene: </ p>  <ol>  <li> Koristi field <code> base </ code> za korištenje Osnovna plata zaposlenog </ li>  <li> Korišćenje plata Komponenta skraćenice u uslovima i formulama. <Kod> BS=Od osnovne plate </ kod> </ p>  <Li> Koristi ime polja za detalje zaposlenih u uslovima i formulama. <Kod> Tip zaposlenja=emploiment_tipe </ kod> <kod> Filijala=Filijala </ kod> </ p>  <Li> Koristi ime polja iz plata Slip u uslovima i formulama. <Kod> Dana plaćanja=paiment_dais </ kod> <kod> Napusti bez plate=leave_vithout_pai </ kod> </ p>  <Li> Direktan Iznos mogu se uneti na osnovu stanju. Videti primer 3 </ li> </ ol>  <h4> Primeri </ h4>  <ol>  <li> Izračunavanje osnovne plate na osnovu <code> base </ code>  <pre> <code> Condition: base & lt; 10000 </ code> </ pre>  <pre> <code> Formula: Baza * .2 </ code> </ pre> </ li>  <li> Izračunavanje HRA osnovu osnovne plate <code > BS </ code>  <pre> <code> Condition: BS & gt; 2000 </ code> </ pre>  <pre> <code> Formula: BS * .1 </ code> </ pre> </ li>  <li> Izračunavanje TDS osnovu Tip zaposlenja <code > emploiment_tipe </ kod>  <pre> <kod> Stanje: emploiment_tipe == ""Interni"" </ kod> </ pre>  <pre> <kod> Iznos: 1000 </ kod> </ pre > </ li>  </ ol>"
<h3>Print Format Help</h3><hr><h4>Introduction</h4><p>Print Formats are rendered on the server side using the Jinja Templating Language. All forms have access to the <code>doc</code> object which contains information about the document that is being formatted. You can also access common utilities via the <code>frappe</code> module.</p><p>For styling,<h3> Print Format Pomoć </ h3>  <hR>  <h4> Uvod </ h4>  <p> Print formati su donesena na strani servera pomoću JINJA templating jezik. Svi oblici imaju pristup <code> doc </ code> objekat koji sadrži informacije o dokumentu koji se formatirani. Takođe možete da pristupite zajedničke komunalne usluge preko <code> frape </ kod> modul. </ S>  <p> Za stiling
"<h4>Body Text and Closing Text Example</h4><div>We have noticed that you have not yet paid invoice {{sales_invoice}} for {{frappe.db.get_value(""Currency""","<h4> Telo Tekst i zatvaranje Tekst Primer </ h4> : <div> Primetili smo da još uvek nisu platili račun {{sales_invoice}} za {{frappe.db.get_value ( ""Valuta"""
<h4>Condition Examples</h4><ol><li>Applying tax if employee born between 31-12-1937 and 01-01-1958 (Employees aged 60 to 80)<br><code>Condition: date_of_birth&gt;date(1937,<h4> Stanje Primeri </ h4>  <ola>  <Li> Primena poreza ako zaposleni rođeni između 31-12-1937 i 01-01-1958 (Zaposleni starosti od 60 do 80) <br>  | <kod> Stanje: date_of_birth & gt; datum (1937
<h4>Contract Template Example</h4><pre>Contract for Customer {{ party_name }}-Valid From : {{ start_date }} -Valid To : {{ end_date }}</pre><h4>How to get fieldnames</h4><p>The field names you can use in your Contract Template are the fields in the Contract for which you are creating the template. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Contract)</p><h4>Templating</h4><p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja,<h4> Contract Template Primer </ h4>  <pre> Ugovor za klijenta {{parti_name}}  -Valid From: {{START_DATE}}  -Valid To: { {datum_završetka}}  </ pre>  <h4> Kako dobiti fieldnames </ h4>  <s> imena na terenu možete da koristite u ugovoru Template su polja Ugovorom za koju se stvaraju šablon. Možete saznati polja svih dokumenata preko Setup & gt; Prilagodite Obrazac Pregled i odabir vrste dokumenta (npr ugovora) </ p>  <h4> Templating </ h4>  blog <p> Šablon su sastavljeni korišćenjem JINJA templating jezik. Da biste saznali više o Jinja
"<h4>Default Template</h4><p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p><pre><code>{{ address_line1 }}&lt;br&gt;{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}{{ city }}&lt;br&gt;{% if state %}{{ state }}&lt;br&gt;{% endif -%}{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}{{ country }}&lt;br&gt;{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}</code></pre>","<h4> Uobičajeno šablona </ h4>  <s> Upotrebe <a href=""http://jinja.pocoo.org/docs/templates/""> Džindža Templating </a> i sve oblasti Adresa ( uključujući Custom Fields ako ih ima) biće dostupan </ p>  <pre> <code> {{address_line1}} & lt; br & gt;  {% ako address_line2%} {{address_line2}} & lt; br & gt; { % endif -%}  {{citi}} & lt; br & gt;  {% ukoliko država%} {{state}} & lt; br & gt; {% eNDIF -%}  {% ako pincode%} PIN: {{pincode}} & lt; br & gt; {% eNDIF -%}  {{countri}} & lt; br & gt;  {% ako telefon%} Telefon: {{phone}} & lt; br & gt; { % endif -%}  {% ako fak%} Fak: {{fak}} & lt; br & gt; {% eNDIF -%}  {% ako EMAIL_ID%} Email: {{EMAIL_ID}} & lt; br & gt ; {% eNDIF -%}  </ code> </ pre>"
<h4>Email Reply Example</h4><pre>Order OverdueTransaction {{ name }} has exceeded Due Date. Please take necessary action.Details- Customer: {{ customer }}- Amount: {{ grand_total }}</pre><h4>How to get fieldnames</h4><p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p><h4>Templating</h4><p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja,<h4> Email Odgovor Primer </ h4>  <pre> zakaza Dospela  transakcija {{name}} prekoračio Due Date. Molimo Vas da preduzmu potrebne mere  Detalji  - klijenta:. {{Mušterija}}  - Iznos: {{grand_total}}  </ pre>  <h4> Kako dobiti fieldnames </ h4>  <p> fieldnames možete da koristite u vašem e-poruke su polja u dokumentu iz koje se šalju na e-mail. Možete saznati polja svih dokumenata preko Setup & gt; Prilagodite Obrazac Pregled i odabir vrste dokumenta (npr prodaje fakture) </ p>  <h4> Templating </ h4>  blog <p> Šablon su sastavljeni korišćenjem JINJA templating jezik. Da biste saznali više o Jinja
<h4>Standard Terms and Conditions Example</h4><pre>Delivery Terms for Order number {{ name }}-Order Date : {{ transaction_date }} -Expected Delivery Date : {{ delivery_date }}</pre><h4>How to get fieldnames</h4><p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p><h4>Templating</h4><p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja,<h4> Standardni uslovi Primer </ h4>  <pre> Uslovi za reda broj isporuke {{ime}}  -Red Datum: {{TRANSACTION_DATE}}  - Očekivani Isporuka Datum: {{deliveri_date}}  </ pre>  <h4> Kako dobiti fieldnames </ h4>  <p> fieldnames možete koristiti u vašem e-pošte šablon su polja u dokumentu iz koje se šalje e-mail. Možete saznati polja svih dokumenata preko Setup & gt; Prilagodite Obrazac Pregled i odabir vrste dokumenta (npr prodaje fakture) </ p>  <h4> Templating </ h4>  blog <p> Šablon su sastavljeni korišćenjem JINJA templating jezik. Da biste saznali više o Jinja
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 stile=""font-isključen velika""> Ili </ h5>"
